school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Bodega Bay Elementary,Shoreline Unified,2005-06,43,Natural Disasters & Weather,Inclement Weather,Road conditions related to storm.,"January 3, 2006",2006,1,21733616051627,Marin
Bonnie Doon Elementary,Bonny Doon Union Elementary,2005-06,118,Natural Disasters & Weather,Inclement Weather,"Snow storms caused power outages, falling trees and impassable roads.","February 28, 2006 and March 10, 2006",2006,2,,
Bonny Doon Elementary,Bonny Doon Union Elementary,2006-07,129,Infrastructure,Facilities Issues,broken water line,"September 21, 2006",2006,1,44697326049563,Santa Cruz
Boulder Creek Elementary,San Lorenzo Valley Unified,2005-06,541,Natural Disasters & Weather,Inclement Weather,"Inclement weather, power outages, and impassable roads.","February 27, 2006",2006,1,44698076049837,Santa Cruz
Breeze Hill Elementary,Vista Unified,2005-06,775,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526110399,San Diego
Bridgeville Elementary,Bridgeville Elementary,2005-06,46,Natural Disasters & Weather,Inclement Weather,Unusually large amount of snow and hwy closed due to mudslide,"March 10, 13 and 14, 2006",2006,3,12627296007710,Humboldt
Brookside Elementary,Ross Valley Elementary,2005-06,536,Natural Disasters & Weather,Inclement Weather,"As a result of severe storms on December 30 and 31, storm drain backed up causing flooding in ten classrooms, requiring major repairs before they could be occupied by students.","January 3 through 6, 2006",2006,4,21750026024681,Marin
Brookside Elementary,Willits Unified,2005-06,409,Natural Disasters & Weather,Inclement Weather,Heavy snowfall caused closure of local roads.,"March 10, 2006",2006,1,23656236025290,Mendocino
Buena Vista High,Geyserville Unified,2005-06,6,Natural Disasters & Weather,Inclement Weather,"state of emergency for Sonoma County. Closure of Hwy 128 Bridge at Geyserville caused difficulties getting students to school, both by bus and car.","January 3, 2006",2006,1,49707064930053,Sonoma
Buena Vista High,Geyserville Unified,2005-06,6,Other,Other Reasons,"the only road to the schools was blocked by a accident and closed by CHP (per CHP, probably all day)","May 8, 2006",2006,1,49707064930053,Sonoma
Burnt Ranch Elementary,Burnt Ranch Elementary,2005-06,91,Infrastructure,Power Outage,downed trees on power lines caused outage for approx. 40 hours,"April 26, 2006",2006,1,53716626053680,Trinity
Burnt Ranch Elementary,Burnt Ranch Elementary,2006-07,88,Infrastructure,Facilities Issues,9/14/06 no water,"September 14, 2006",2006,1,53716626053680,Trinity
Burnt Ranch Elementary,Burnt Ranch Elementary,2006-07,88,Natural Disasters & Weather,Inclement Weather,"2/27,2/28,3/1,3/27/07 power outage due to inclement weather","February 27 and 28, 2007, and March 1 and 27, 2007",2006,4,53716626053680,Trinity
Burnt Ranch Elementary,Burnt Ranch Elementary,2005-06,91,Infrastructure,Power Outage,3/7/06: power outage - no heat and/or water,"March 7, 2006",2006,1,53716626053680,Trinity
Burnt Ranch Elementary,Burnt Ranch Elementary,2005-06,91,Natural Disasters & Weather,Inclement Weather,State of emergency declared in Trinity. Severe storms caused widespread power outages and impassable roads.,"January 3, 4, 25 through 27 and 30, 2006",2006,6,53716626053680,Trinity
Burnt Ranch Elementary,Burnt Ranch Elementary,2005-06,91,Natural Disasters & Weather,Inclement Weather,"3/10/06: severe winter storm, roads icy and snowy, planned late start but roads remained impassable and power outage in surrounding areas.","March 10, 2006",2006,1,53716626053680,Trinity
Burroughs High,Sierra Sands Unified,2005-06,1771,Infrastructure,Power Outage,"Power outage due to bird flying into a substation. Most customers had power that restored that night, but these two schools remained without power and the power was not expected to be restored by start of classes.","May 12, 2006",2006,1,15737421531367,Kern
Buttonwillow Elementary,Buttonwillow Union Elementary,2005-06,380,Natural Disasters & Weather,Inclement Weather,"High wind storm that caused power outage, roof damage and resulted in water that was not potable.","January 3, 2006",2006,1,15633706009278,Kern
C. Roy Carmichael Elementary,Plumas Unified,2005-06,448,Natural Disasters & Weather,Inclement Weather,Contaminated drinking water from flooding caused by excessive rainfall.,"January 3, 2006",2006,1,32669696110308,Plumas
C. Roy Carmichael Elementary,Plumas Unified,2005-06,448,Natural Disasters & Weather,Inclement Weather,Excessive snowfall,"March 14, 2006",2006,1,32669696110308,Plumas
California Avenue Elementary,Vista Unified,2005-06,24,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526040604,San Diego
Calistoga Elementary,Calistoga Joint Unified,2005-06,445,Natural Disasters & Weather,Inclement Weather,Flooding due to Dec-Jan storms.,"January 2, 2006",2006,1,28662416026744,Napa
Calistoga Junior-Senior High,Calistoga Joint Unified,2005-06,360,Natural Disasters & Weather,Inclement Weather,Flooding due to Dec-Jan storms.,"January 2, 2006",2006,1,28662412831758,Napa
Cambria Community Day,Coast Unified,2005-06,7,Natural Disasters & Weather,Inclement Weather,Inclement weather caused power outages and mudslides.,"January 3, 2006",2006,1,40754654030219,San Luis Obispo
Cambria Grammar,Coast Unified,2005-06,342,Natural Disasters & Weather,Inclement Weather,Inclement weather caused power outages and mudslides.,"January 3, 2006",2006,1,40754656042972,San Luis Obispo
Camino Elementary,Camino Union Elementary,2005-06,492,Natural Disasters & Weather,Inclement Weather,heavy snowfall making roads impassable,"March 14, 2006 and April 5, 2006",2006,2,9618466005482,El Dorado
Campo Elementary,Mountain Empire Unified,2005-06,314,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682136038681,San Diego
Campo High (Continuation),Mountain Empire Unified,2005-06,6,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682133730934,San Diego
Camptonville Elementary,Camptonville Elementary,2005-06,66,Natural Disasters & Weather,Inclement Weather,Power outage/snow storm. Unsafe roads and 83% of students ride the bus.,"February 28, 2006 and March 2-3, 2006",2006,3,58727286056600,Yuba
Campus Canyon Elementary,Moorpark Unified,2006-07,406,Wildfires,Shekell Fire 2006,wildfires,"December 4, 2006",2006,1,56739406106439,Ventura
Canyon Elementary,Canyon Elementary,2005-06,69,Natural Disasters & Weather,Inclement Weather,"No electricity beginning 12/31/05 due to severe winter storms, unable to restore power until 1/5/06","January 3 and 4, 2006",2006,2,7616716003677,Contra Costa
Canyon Rim Elementary,Orange Unified,2005-06,639,Wildfires,Sierra Fire 2006,Sierra Peak Wildfire,"February 7, 2006",2006,1,30666216114565,Orange
Captain John Continuation High,Klamath-Trinity Joint Unified,2005-06,38,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,12629011230028,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2005-06,38,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,"March 10, 2006",2006,1,12629011230028,Humboldt
Casita Center for Science/Math/Technology,Vista Unified,2005-06,793,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526069124,San Diego
Castle Rock Elementary,Castle Rock Union Elementary,2005-06,77,Other,Other Reasons,CHP and Cal Trans closed the freeway and buses were unable to transport students.,"March 6, 2006",2006,1,45699226050165,Shasta
Cedar Creek Elementary,Mountain Union Elementary,2005-06,28,Natural Disasters & Weather,Inclement Weather,Snow storm - bad road conditions,"March 6, 2006",2006,1,45737006050173,Shasta
Chaparral Middle,Moorpark Unified,2006-07,912,Wildfires,Shekell Fire 2006,wildfires,"December 4, 2006",2006,1,56739406102230,Ventura
Charles F. Brown Elementary,Mother Lode Union Elementary,2005-06,511,Natural Disasters & Weather,Inclement Weather,Unsafe road conditions due to inclement weather/snow.,"March 2, 2006",2006,1,9619296005599,El Dorado
Chatom Elementary,Chatom Union,2005-06,497,Natural Disasters & Weather,Inclement Weather,Flooding due to burst water main at Chatom Elementary. Turnoff valve could not be found to isolate the flooding. The kitchen at Chatom serves the students at Mt. View and 74% qualify for free or reduced lunches.,"March 22-24, 2006",2006,3,50710506052484,Stanislaus
Chester Elementary,Plumas Unified,2005-06,259,Natural Disasters & Weather,Inclement Weather,Excessive snowfall,"March 14, 2006",2006,1,32669696031413,Plumas
Chester Junior/Senior High,Plumas Unified,2005-06,317,Natural Disasters & Weather,Inclement Weather,Excessive snowfall,"March 14, 2006",2006,1,32669693232006,Plumas
Chicago Park Elementary,Chicago Park Elementary,2005-06,169,Natural Disasters & Weather,Inclement Weather,"Heavy snow conditions required school closure on 3/2, 3/3, & 3/14/2006
 , Two days were made up.","March 14, 2006",2006,1,29663166027080,Nevada
Chinese Camp Elementary,Chinese Camp Elementary,2005-06,25,Natural Disasters & Weather,Inclement Weather,"Extreme rainstorms caused power outage. No heat, lights or water (provided by electric pump) for restrooms.","March 3, 2006",2006,1,,
Clair W. Burgener Academy,Oceanside Unified,2005-06,123,Natural Disasters & Weather,Inclement Weather,closed middle and high schools due to protests,"March 30 and 31, 2006",2006,2,37735693731148,San Diego
Clover Flat Elementary,Mountain Empire Unified,2005-06,114,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682136085054,San Diego
Coast Union High,Coast Unified,2005-06,342,Natural Disasters & Weather,Inclement Weather,Inclement weather caused power outages and mudslides.,"January 3, 2006",2006,1,40754654032009,San Luis Obispo
Cobb Mountain Elementary,Middletown Unified,2005-06,194,Natural Disasters & Weather,Inclement Weather,"Snow Storm - All Schools 01/02/06, Cobb Mtn 01/02/06 & 03/03/06
 , Mat.Decrease - Middleton Middle and High Schools","January 2, 2006 and March 3, 2006",2006,2,17640556105456,Lake
Cold Springs High,Summerville Union High,2005-06,2,Natural Disasters & Weather,Inclement Weather,Continuous snow fall on 3/14/06 rendering roads unsafe and impassable for duration of school day.,"March 14, 2006",2006,1,55724135530100,Tuolumne
Cold Springs High,Summerville Union High,2005-06,2,Natural Disasters & Weather,Inclement Weather,Sudden and continuous snowfall on 3/3/06 rendering roads unsafe and impassable for duration of school day.,"March 3, 2006",2006,1,55724135530100,Tuolumne
Colfax Elementary,Colfax Elementary,2005-06,475,Natural Disasters & Weather,Inclement Weather,Low snow levels for 3 days with impassable roads.,"March 2-3, and 14, 2006",2006,3,31667956031066,Placer
Colfax High,Placer Union High,2005-06,1009,Natural Disasters & Weather,Inclement Weather,Unsafe road conditions and a power outage caused by extraordinarily heavy snow storms,"March 2, 3 and 14, 2006",2006,3,31668943131851,Placer
College View Elementary,Ocean View,2005-06,516,Student Safety,Threat of Violence,Discovery of two incdendiary devices on school grounds forcing evacuation and dismissal of all pupils at the request of the huntington beach police and fire departments.,"January 13, 2006",2006,1,30666136029557,Orange
Community High,Moorpark Unified,2006-07,150,Wildfires,Shekell Fire 2006,wildfires,"December 4, 2006",2006,1,56739405630215,Ventura
Connections Visual and Performing Arts Academy,Summerville Union High,2005-06,94,Natural Disasters & Weather,Inclement Weather,Continuous snow fall on 3/14/06 rendering roads unsafe and impassable for duration of school day.,"March 14, 2006",2006,1,55724135530191,Tuolumne
Connections Visual and Performing Arts Academy,Summerville Union High,2005-06,94,Natural Disasters & Weather,Inclement Weather,Sudden and continuous snowfall on 3/3/06 rendering roads unsafe and impassable for duration of school day.,"March 3, 2006",2006,1,55724135530191,Tuolumne
Cottonwood Community Day,Mountain Empire Unified,2005-06,6,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682133731080,San Diego
Cox Bar Elementary,Cox Bar Elementary,2006-07,16,Wildfires,Other Wildfires,road closures due to forest fire,"September 5, 2006",2006,1,,
Coyote Valley Elementary,Middletown Unified,2005-06,521,Natural Disasters & Weather,Inclement Weather,"Snow Storm - All Schools 01/02/06, Cobb Mtn 01/02/06 & 03/03/06
 , Mat.Decrease - Middleton Middle and High Schools","January 2, 2006",2006,1,17640556110761,Lake
Credence High,Lassen Union High,2005-06,64,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather.,"March 14, 2006",2006,1,18641391833813,Lassen
Creekside Elementary,Black Oak Mine Unified,2005-06,148,Natural Disasters & Weather,Inclement Weather,Snow storm resulting in impassable road conditions for the 3rd time this year.,"March 14, 2006",2006,1,9737836107486,El Dorado
Crestview Elementary,Vista Unified,2005-06,629,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526040612,San Diego
Cummings Valley Elementary,Tehachapi Unified,2005-06,783,Natural Disasters & Weather,Inclement Weather,Dangerous road conditions caused by snow and ice.,"March 21, 2006",2006,1,15638266108898,Kern
Curtis Creek Community Day,Curtis Creek Elementary,2005-06,1,Infrastructure,Road Closures,Impassable roads,"March 3, 2006",2006,1,22655322230076,Mariposa
Curtis Creek Community Day,Curtis Creek Elementary,2005-06,1,Infrastructure,Road Closures,Impassable roads,"March 10, 2006",2006,1,22655322230076,Mariposa
Curtis Creek Community Day,Curtis Creek Elementary,2005-06,1,Infrastructure,Road Closures,Impassable roads,"March 13-14, 2006",2006,2,22655322230076,Mariposa
Curtis Creek Community Day,Curtis Creek Elementary,2005-06,1,Infrastructure,Road Closures,Impassable roads,"March 20, 2006",2006,1,22655322230076,Mariposa
Curtis Creek Elementary,Curtis Creek Elementary,2005-06,482,Infrastructure,Road Closures,Impassable roads,"March 3, 2006",2006,1,22655326103477,Mariposa
Curtis Creek Elementary,Curtis Creek Elementary,2005-06,482,Infrastructure,Road Closures,Impassable roads,"March 10, 2006",2006,1,22655326103477,Mariposa
Curtis Creek Elementary,Curtis Creek Elementary,2005-06,482,Infrastructure,Road Closures,Impassable roads,"March 13-14, 2006",2006,2,22655326103477,Mariposa
Curtis Creek Elementary,Curtis Creek Elementary,2005-06,482,Infrastructure,Road Closures,Impassable roads,"March 20, 2006",2006,1,22655326103477,Mariposa
Cuyama Elementary,Cuyama Joint Unified,2006-07,201,Other,Other Reasons,"high school principal in fatal accident-mermorial service on Oct 4, 2006 in high school gym","October 4, 2006",2006,1,42750106045389,Santa Barbara
Cuyama Valley High,Cuyama Joint Unified,2006-07,80,Other,Other Reasons,"high school principal in fatal accident-mermorial service on Oct 4, 2006 in high school gym","October 4, 2006",2006,1,42750104231205,Santa Barbara
Dairyland Elementary,Alview-Dairyland Union Elementary,2005-06,194,Natural Disasters & Weather,Inclement Weather,Roads closed due to flooding,"April 7, 2006",2006,1,20651776023923,Madera
Dario Cassina High,Sonora Union High,2005-06,63,Natural Disasters & Weather,Inclement Weather,Road closures and campus flooding due to weather.,"April 4, 2006",2006,1,55723895530019,Tuolumne
Deer Creek Elementary,Nevada City Elementary,2005-06,430,Natural Disasters & Weather,Inclement Weather,"snow storm, power outages, hazardous road conditions, CHP closed roads","March 14, 2006",2006,1,29663406097315,Nevada
Descanso Elementary,Mountain Empire Unified,2005-06,151,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682136038699,San Diego
Diamond Mountain Charter High,Lassen Union High,2005-06,42,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather.,"March 14, 2006",2006,1,18641390106385,Lassen
Diamond View Middle,Susanville Elementary,2005-06,293,Natural Disasters & Weather,Inclement Weather,Hazardous road conditions due to heavy snow. No transportation.,"March 14, 2006",2006,1,18641966010813,Lassen
Divide High,Black Oak Mine Unified,2005-06,35,Natural Disasters & Weather,Inclement Weather,Snow storm resulting in impassable road conditions for the 3rd time this year.,"March 14, 2006",2006,1,9737830930099,El Dorado
Dow's Prairie Elementary,McKinleyville Union Elementary,2005-06,430,Natural Disasters & Weather,Inclement Weather,Extreme weather conditions resulted in power outage,"January 2, 2006",2006,1,12629506008056,Humboldt
Downieville Elementary,Sierra-Plumas Joint Unified,2005-06,46,Natural Disasters & Weather,Inclement Weather,Closed due to severe weather,"March 2, 2006",2006,1,46701776050611,Sierra
Downieville Junior-Senior High,Sierra-Plumas Joint Unified,2005-06,37,Natural Disasters & Weather,Inclement Weather,Closed due to severe weather,"March 2, 2006",2006,1,46701774632303,Sierra
Dunsmuir High,Dunsmuir Joint Union High,2005-06,106,Natural Disasters & Weather,Inclement Weather,"Heavy snow fall in 24 hr period, I-5 closed on and off into early Monday morning - roads were impassable","March 6, 2006",2006,1,47702504732707,Siskiyou
Dunsmuir Joint Union High Community Day,Dunsmuir Joint Union High,2005-06,3,Natural Disasters & Weather,Inclement Weather,"Heavy snow fall in 24 hr period, I-5 closed on and off into early Monday morning - roads were impassable","March 6, 2006",2006,1,47702504730164,Siskiyou
Eagles Peak Charter,Julian Union High,2005-06,3527,Natural Disasters & Weather,Inclement Weather,Severe winter storms causing impassable roads.,"March 14 and 21, 2006",2006,2,37681713731254,San Diego
East High (Continuation),Fortuna Union High,2005-06,89,Natural Disasters & Weather,Inclement Weather,"State of Emergency declared for flooding, road closures, power outages and wind damage.","January 4-5, 2006",2006,2,12628101233352,Humboldt
Easton Community Day,Washington Union High,2005-06,10,Natural Disasters & Weather,Inclement Weather,Widespread power outage due to extreme weather conditions.,"March 3, 2006",2006,1,,
Easton Continuation High,Washington Union High,2005-06,31,Natural Disasters & Weather,Inclement Weather,Widespread power outage due to extreme weather conditions.,"March 3, 2006",2006,1,,
Ed Donaldson Education Center,Kelseyville Unified,2005-06,22,Natural Disasters & Weather,Inclement Weather,Unexpected snowfall. Several bus routes were unable to run due to snow an dice on roads.,"March 3, 2006",2006,1,17640141730043,Lake
Edwin Markham Middle,Placerville Union Elementary,2005-06,386,Natural Disasters & Weather,Inclement Weather,Excessive snow on roadways created unsafe conditions to to transport students.,"March 2, 2006",2006,1,9619526005649,El Dorado
El Camino High,Oceanside Unified,2005-06,2853,Natural Disasters & Weather,Inclement Weather,closed middle and high schools due to protests,"March 30 and 31, 2006",2006,2,37735693739018,San Diego
El Molino High,West Sonoma County Union High,2005-06,1039,Natural Disasters & Weather,Inclement Weather,"Storm April 2006 - Mudslides, impassable roads caused by inclement weather","April 12, 2006",2006,1,49706074931507,Sonoma
El Tejon Elementary,El Tejon Unified,2006-07,474,Wildfires,Day Fire 2006,Day Fire - evacuations of parent and students,"September 27 through 29, 2006",2006,3,15751686009468,Kern
Elk Hills Elementary,Elk Hills Elementary,2005-06,79,Natural Disasters & Weather,Inclement Weather,"On 1/2/06 an apparent tornado hit Tupman with extremely high winds. Downed power poles resulting in power outages throughout town, roofs at school sites were uplifted and needed repaird.","January 3 and 4, 2006",2006,2,15634466009450,Kern
Emigrant Gap Elementary,Alta-Dutch Flat Union Elementary,2005-06,1,Natural Disasters & Weather,Inclement Weather,Snow - requesting three of four closure days.,"March 3, 6 and 14, 2006",2006,3,31667796031082,Placer
Empresa Elementary,Vista Unified,2005-06,750,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526108708,San Diego
Exeter Union High,Exeter Union High,2006-07,1011,Natural Disasters & Weather,Inclement Weather,Electrical outage due to inclement weather,"October 2, 2006",2006,1,,
Explorer Elementary Charter,San Diego Unified,2005-06,293,Natural Disasters & Weather,Inclement Weather,Roof was removed for additional construction and there was a rainstorm that flooded the classrooms.,"May 22, 2006",2006,1,,
Fieldbrook Elementary,Fieldbrook Elementary,2005-06,112,Natural Disasters & Weather,Inclement Weather,High winds caused downed trees and power lines blocking traffic in many surface streets throughout county. State of Emergency Declared.,"January 2 through 4, 2006",2006,3,12627946007850,Humboldt
Flory Academy of Sciences and Technology,Moorpark Unified,2006-07,495,Wildfires,Shekell Fire 2006,wildfires,"December 4, 2006",2006,1,56739406055131,Ventura
Foothill Oak Elementary,Vista Unified,2005-06,631,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684520105882,San Diego
Foresthill Divide,Foresthill Union Elementary,2005-06,298,Natural Disasters & Weather,Inclement Weather,Inclement weather - excessive snow and impassable roads.,"March 3 and 14, 2006",2006,2,31668376031116,Placer
Foresthill Divide Middle,Foresthill Union Elementary,2005-06,313,Natural Disasters & Weather,Inclement Weather,Inclement weather - excessive snow and impassable roads.,"March 3 and 14, 2006",2006,2,31668376107478,Placer
Foresthill High,Placer Union High,2005-06,197,Natural Disasters & Weather,Inclement Weather,Unsafe road conditions and a power outage caused by extraordinarily heavy snow storms,"March 2, 3 and 14, 2006",2006,3,31668940102293,Placer
Forestville Elementary,Forestville Union Elementary,2005-06,556,Natural Disasters & Weather,Inclement Weather,Mud slides on bus routes on River Road and Highway 116,"March 15, 2006",2006,1,49706806051718,Sonoma
Forks of Salmon Elementary,Forks of Salmon Elementary,2005-06,15,Natural Disasters & Weather,Inclement Weather,Federal disaster area. Rock slides and washouts caused closed/impassable roads,"January 2 and March 10, 2006",2006,2,47702926050744,Siskiyou
Fort Jones Community Day,Fort Jones Union Elementary,2006-07,1,Infrastructure,Facilities Issues,"water main blew causing sever damage and leakage causing the school to be closed for repairs. School had no water, toilets, or heat","November 21, 2006",2006,1,,
Fort Jones Elementary,Fort Jones Union Elementary,2006-07,141,Infrastructure,Facilities Issues,"water main blew causing sever damage and leakage causing the school to be closed for repairs. School had no water, toilets, or heat","November 21, 2006",2006,1,,
Fort Sage Community Day,Fort Sage Unified,2005-06,7,Natural Disasters & Weather,Inclement Weather,"heavy snow, power outage, impassable roads, unsafe conditions","March 14, 2006",2006,1,18750360100552,Lassen
Fort Sage Middle,Fort Sage Unified,2005-06,41,Natural Disasters & Weather,Inclement Weather,"heavy snow, power outage, impassable roads, unsafe conditions","March 14, 2006",2006,1,18750366010714,Lassen
Fortuna Union High,Fortuna Union High,2005-06,1017,Natural Disasters & Weather,Inclement Weather,"State of Emergency declared for flooding, road closures, power outages and wind damage.","January 4-5, 2006",2006,2,12628101233402,Humboldt
Frazier Mountain High,El Tejon Unified,2006-07,511,Wildfires,Day Fire 2006,Day Fire - evacuations of parent and students,"September 27 through 29, 2006",2006,3,15751681530401,Kern
Frazier Park Elementary,El Tejon Unified,2006-07,296,Wildfires,Day Fire 2006,Day Fire - evacuations of parent and students,"September 27 through 29, 2006",2006,3,15751686009476,Kern
Freshwater Charter Middle,Freshwater Elementary,2005-06,45,Natural Disasters & Weather,Inclement Weather,"Severe weather causing flooding, downed trees and loss of electricity.","January 3, 2006",2006,1,12628286116289,Humboldt
Freshwater Elementary,Freshwater Elementary,2005-06,258,Natural Disasters & Weather,Inclement Weather,"Severe weather causing flooding, downed trees, and loss of electricity.","January 3, 2006",2006,1,12628286007884,Humboldt
Gateway West Community Day,Grossmont Union High,2005-06,27,Infrastructure,Facilities Issues,Flood damage - fire sprinkler discharged and school was under approx. 1 inch of water. School closed for one day to find safe alternative location.,"May 8, 2006",2006,1,37681300100313,San Diego
Georgetown Elementary,Black Oak Mine Unified,2005-06,432,Natural Disasters & Weather,Inclement Weather,Snow storm resulting in impassable road conditions for the 3rd time this year.,"March 14, 2006",2006,1,9737836005490,El Dorado
Geyserville Community Day,Geyserville Unified,2005-06,7,Natural Disasters & Weather,Inclement Weather,"state of emergency for Sonoma County. Closure of Hwy 128 Bridge at Geyserville caused difficulties getting students to school, both by bus and car.","January 3, 2006",2006,1,49707060107664,Sonoma
Geyserville Community Day,Geyserville Unified,2005-06,7,Other,Other Reasons,"the only road to the schools was blocked by a accident and closed by CHP (per CHP, probably all day)","May 8, 2006",2006,1,49707060107664,Sonoma
Geyserville Educational Park High,Geyserville Unified,2005-06,90,Natural Disasters & Weather,Inclement Weather,"state of emergency for Sonoma County. Closure of Hwy 128 Bridge at Geyserville caused difficulties getting students to school, both by bus and car.","January 3, 2006",2006,1,49707064932109,Sonoma
Geyserville Elementary,Geyserville Unified,2005-06,111,Natural Disasters & Weather,Inclement Weather,"state of emergency for Sonoma County. Closure of Hwy 128 Bridge at Geyserville caused difficulties getting students to school, both by bus and car.","January 3, 2006",2006,1,49707066051734,Sonoma
Geyserville High,Geyserville Unified,2005-06,90,Other,Other Reasons,"the only road to the schools was blocked by a accident and closed by CHP (per CHP, probably all day)","May 8, 2006",2006,1,,
Geyserville Middle,Geyserville Unified,2005-06,54,Other,Other Reasons,"state of emergency for Sonoma County. Closure of Hwy 128 Bridge at Geyserville caused difficulties getting students to school, both by bus and car.","January 3, 2006",2006,1,49707066103428,Sonoma
Geyserville Middle,Geyserville Unified,2005-06,54,Other,Other Reasons,"the only road to the schools was blocked by a accident and closed by CHP (per CHP, probably all day)","May 8, 2006",2006,1,49707066103428,Sonoma
Gold Oak Arts Charter,Gold Oak Union Elementary,2005-06,72,Natural Disasters & Weather,Inclement Weather,widespread low snow levels created impassable/hazardous road conditions.,"March 3, 2006 and April 5, 2006",2006,2,9618790102251,El Dorado
Gold Run Elementary,Nevada City Elementary,2005-06,175,Natural Disasters & Weather,Inclement Weather,"snow storm, power outages, hazardous road conditions, CHP closed roads","March 14, 2006",2006,1,29663406109391,Nevada
Golden Hills Elementary,Tehachapi Unified,2005-06,710,Natural Disasters & Weather,Inclement Weather,Dangerous road conditions caused by snow and ice.,"March 21, 2006",2006,1,15638266105415,Kern
Golden Sierra Junior Senior High,Black Oak Mine Unified,2005-06,705,Natural Disasters & Weather,Inclement Weather,Snow storm resulting in impassable road conditions for the 3rd time this year.,"March 14, 2006",2006,1,9737830930073,El Dorado
Gorman Elementary,Gorman Joint,2005-06,52,Natural Disasters & Weather,Inclement Weather,Severe storms and dangerous conditions.,"1/19/06, 3/3/06, 3/10/06",2006,3,19645846013940,Los Angeles
Gorman Elementary,Gorman Joint,2006-07,48,Wildfires,Day Fire 2006,"""Day Fire"" smoke and evacuations 9/8, 9/19, 9/27, through 9/29/2006","September 8, 19, and 27 through 29, 2006",2006,5,19645846013940,Los Angeles
Grapevine Elementary,Vista Unified,2005-06,829,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526040620,San Diego
Grass Valley Charter,Grass Valley Elementary,2005-06,211,Natural Disasters & Weather,Inclement Weather,Impassable roads caused by inclement weather.,"March 14, 2006",2006,1,29663326111140,Nevada
Green Point Elementary,Green Point Elementary,2005-06,12,Natural Disasters & Weather,Inclement Weather,"Snow storm, unsafe road conditions.","March 10, 2006",2006,1,12628516007918,Humboldt
Greenville Junior/Senior High,Plumas Unified,2005-06,162,Natural Disasters & Weather,Inclement Weather,Contaminated drinking water from flooding caused by excessive rainfall.,"January 3, 2006",2006,1,32669693233509,Plumas
Greenville Junior/Senior High,Plumas Unified,2005-06,162,Natural Disasters & Weather,Inclement Weather,Excessive snowfall,"March 14, 2006",2006,1,32669693233509,Plumas
Grizzly Hill,Twin Ridges Elementary,2005-06,88,Natural Disasters & Weather,Inclement Weather,"03/14/06 - snow storm, power outage, , 03/10 & 03/13/06 -attendance low due to snow storms and local emergency","March 14, 2006",2006,1,29664156089403,Nevada
Grizzly Hill Elementary,Twin Ridges Elementary,2005-06,88,Natural Disasters & Weather,Inclement Weather,"power outage due to electrical storm. No lights, water or telephones.","February 28, 2006",2006,1,,
Guajome Park Academy Charter,Vista Unified,2005-06,1401,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684523730942,San Diego
Guerneville Community Day,Guerneville Elementary,2005-06,5,Natural Disasters & Weather,Inclement Weather,Flooded roads - access was under water - state of emergency,"April 12, 2006",2006,1,49707226119465,Sonoma
Guerneville Community Day,Guerneville Elementary,2005-06,5,Natural Disasters & Weather,Inclement Weather,Emergency flood conditions.,"January 3, 2006",2006,1,49707226119465,Sonoma
Guerneville Elementary,Guerneville Elementary,2005-06,304,Natural Disasters & Weather,Inclement Weather,Flooded roads - access was under water - state of emergency,"April 12, 2006",2006,1,49707226051767,Sonoma
Guerneville Elementary,Guerneville Elementary,2005-06,304,Natural Disasters & Weather,Inclement Weather,Emergency flood conditions.,"January 3, 2006",2006,1,49707226051767,Sonoma
GVSD Elementary Community Day,Grass Valley Elementary,2005-06,1,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather,"March 14, 2006",2006,1,29663326121008,Nevada
